Be yourself; everyone else is already taken.|Oscar Wilde||
Be the change that you wish to see in the world.|Mahatma Gandhi||
Live as if you were to die tomorrow. Learn as if you were to live forever.|Mahatma Gandhi||
We accept the love we think we deserve.|Stephen Chbosky|The Perks of Being a Wallflower|
Without music, life would be a mistake.|Friedrich Nietzsche|Twilight of the Idols|
I have not failed. I've just found 10,000 ways that won't work.|Thomas A. Edison||
It is never too late to be what you might have been.|George Eliot||
Everything you can imagine is real.|Pablo Picasso||
You can never get a cup of tea large enough or a book long enough to suit me.|C.S. Lewis||
Life isn't about finding yourself. Life is about creating yourself.|George Bernard Shaw||
Do what you can, with what you have, where you are.|Theodore Roosevelt||
Nothing will work unless you do.|Maya Angelou||
When you have exhausted all possibilities, remember this - you haven't.|Thomas Edison||
...there ain't no journey what don't change you some.|David Mitchell|Cloud Atlas|
Do not let the roles you play in life make you forget who you are.|Roy T. Bennett||
When you judge another, you do not define them, you define yourself.|Wayne W. Dyer||
Stop feeling sorry for yourself and you will be happy.|Stephen Fry||
Things die. But they don't always stay dead. Believe me, I know.|Richelle Mead|Frostbite|
Be mindful. Be grateful. Be positive. Be true. Be kind.|Roy T. Bennett|The Light in the Heart|
Turn your wounds into wisdom.|Oprah Winfrey||
War is peace. Freedom is slavery. Ignorance is strength.|George Orwell|1984|
The future belongs to those who believe in the beauty of their dreams.|Eleanor Roosevelt||
We come spinning out of nothingness, scattering stars like dust.|Rumi||
People don't realize how a man's whole life can be changed by one book.|Malcolm X||
Be melting snow.Wash yourself of yourself.|Rumi|The Essential Rumi|
I never said it would be easy, I only said it would be worth it.|Mae West||
The rights of every man are diminished when the rights of one man are threatened.|John F. Kennedy||
Every blessing ignored becomes a curse.|Paulo Coelho|The Alchemist|
There's more to life than dating the boy on the football team.|Taylor Swift||
A Penny Saved is a Penny Earned|Benjamin Franklin||
Smile more. Smiling can make you and others happy.|Roy T. Bennett|The Light in the Heart|
Make the most of yourself....for that is all there is of you.|Ralph Waldo Emerson||
Believe you can and you're halfway there.|Theodore Roosevelt||
Aim higher in case you fall short.|Suzanne Collins|Catching Fire|
In the end you should always do the right thing even if it's hard.|Nicholas Sparks|The Last Song|
We meet no ordinary people in our lives.|C.S. Lewis; Inspirational Christian Library||
It’s no use going back to yesterday, because I was a different person then.|Lewis Carroll||
A person's a person, no matter how small.|Dr. Seuss|Horton Hears a Who!|
Nothing is impossible, the word itself says 'I'm possible'!|Audrey Hepburn||
Happiness is not something ready made. It comes from your own actions.|Dalai Lama XIV||
Peace begins with a smile..|Mother Teresa||
Whatever you are, be a good one.|Abraham Lincoln||
May you live every day of your life.|Jonathan Swift||
Two wrongs don't make a right, but they make a good excuse.|Thomas Szasz||
If my life is going to mean anything, I have to live it myself.|Rick Riordan|The Lightning Thief|
Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?|L.M. Montgomery||
Always do what you are afraid to do.|Ralph Waldo Emerson||
Fantasy is hardly an escape from reality. It's a way of understanding it.|Lloyd Alexander||
Hell is empty and all the devils are here.|William Shakespeare|The Tempest|
Never let your sense of morals prevent you from doing what is right.|Isaac Asimov|Foundation|
If you remember me, then I don't care if everyone else forgets.|Haruki Murakami|Kafka on the Shore|
